injection,url
CJ178-CTBr,http://www.marmosetbrain.org/goto/CJ178/r3a/6.268528/8.595947/3
CJ178-FB,http://www.marmosetbrain.org/goto/CJ178/c6d/6.058779/8.945636/3
CJ178-DY,http://www.marmosetbrain.org/goto/CJ178/r6a/3.600555/9.412339/3
CJ178-CTBgr,http://www.marmosetbrain.org/goto/CJ178/r3a/7.20018/8.833711/3
CJ77-FB,http://www.marmosetbrain.org/goto/CJ77/c25b/18.672995/5.981724/3
CJ77-FR,http://www.marmosetbrain.org/goto/CJ77/c31b/18.369589/3.495508/3
CJ77-DY,http://www.marmosetbrain.org/goto/CJ77/c39b/18.973981/4.280846/3
CJ100-FR,http://www.marmosetbrain.org/goto/CJ100/r17b/15.901001/7.968385/3
CJ100-FE,http://www.marmosetbrain.org/goto/CJ100/r17b/19.122131/9.339179/3
CJ182-CTBr,http://www.marmosetbrain.org/goto/CJ182/r18d/13.725054/13.325759/3
CJ182-CTBgr,http://www.marmosetbrain.org/goto/CJ182/c13b/12.687115/12.034359/3
CJ182-DY,http://www.marmosetbrain.org/goto/CJ182/c13a/12.938769/14.153308/3
CJ801-FB,http://www.marmosetbrain.org/goto/CJ801/r9c/9.04568/8.933454/3
CJ801-CTBgr,http://www.marmosetbrain.org/goto/CJ801/r8b/8.436113/8.750243/3
CJ801-DY,http://www.marmosetbrain.org/goto/CJ801/r4d/7.228651/8.608553/3
CJ80-FB,http://www.marmosetbrain.org/goto/CJ80/c36a/13.534635/5.716576/3
CJ80-FR,http://www.marmosetbrain.org/goto/CJ80/c35a/15.141866/7.157973/3
CJ80-DY,http://www.marmosetbrain.org/goto/CJ80/c32a/14.070112/6.873047/3
CJ802-CTBr,http://www.marmosetbrain.org/goto/CJ802/r16c/10.661102/7.358372/3
CJ802-FB,http://www.marmosetbrain.org/goto/CJ802/r21b/9.427056/6.177043/3
CJ802-CTBgr,http://www.marmosetbrain.org/goto/CJ802/r17d/11.873267/9.751909/3
CJ802-DY,http://www.marmosetbrain.org/goto/CJ802/r20d/7.331472/3.49635/3
CJ148R-DY,http://www.marmosetbrain.org/goto/CJ148R/r6a/4.807842/10.891245/3
CJ153X-FR,http://www.marmosetbrain.org/goto/CJ153X/c17d/2.693083/4.851391/3
CJ102X-DY,http://www.marmosetbrain.org/goto/CJ102X/r12b/9.791924/7.706625/3
CJ125X-FR,http://www.marmosetbrain.org/goto/CJ125X/r14a/20.129196/10.247142/3
CJ125X-FE,http://www.marmosetbrain.org/goto/CJ125X/r17a/17.688512/8.642267/3
CJ71R-FR,http://www.marmosetbrain.org/goto/CJ71R/r5b/8.949388/10.203731/3
CJ71R-FB,http://www.marmosetbrain.org/goto/CJ71R/r2d/7.459604/9.948791/3
CJ71R-DY,http://www.marmosetbrain.org/goto/CJ71R/r2b/6.606863/10.251961/3
CJ52X-FR,http://www.marmosetbrain.org/goto/CJ52X/c11b/6.885803/6.143414/3
CJ52X-FE,http://www.marmosetbrain.org/goto/CJ52X/c10b/4.672699/6.224151/3
CJ52X-DY,http://www.marmosetbrain.org/goto/CJ52X/c17a/5.612518/4.014284/3
CJ75X-FR,http://www.marmosetbrain.org/goto/CJ75X/r34b/23.307786/8.335103/3
CJ75X-DY,http://www.marmosetbrain.org/goto/CJ75X/r14b/18.75641/9.249781/3
CJ73X-FB,http://www.marmosetbrain.org/goto/CJ73X/r7b/18.932493/11.313854/3
CJ73X-FR,http://www.marmosetbrain.org/goto/CJ73X/r4b/14.066544/12.155771/3
CJ73X-FE,http://www.marmosetbrain.org/goto/CJ73X/r11b/21.239574/13.143513/3
CJ73X-DY,http://www.marmosetbrain.org/goto/CJ73X/r10b/13.426981/8.579313/3
CJ70X-FB,http://www.marmosetbrain.org/goto/CJ70X/r8a/14.412544/9.589848/3
CJ70X-FR,http://www.marmosetbrain.org/goto/CJ70X/r10a/17.752667/10.142223/3
CJ70X-FE,http://www.marmosetbrain.org/goto/CJ70X/r6a/19.966862/11.367798/3
CJ70X-DY,http://www.marmosetbrain.org/goto/CJ70X/r2c/12.760412/10.999337/3
CJ163-FB,http://www.marmosetbrain.org/goto/CJ163/r20a/13.980282/6.946163/3
CJ163-DY,http://www.marmosetbrain.org/goto/CJ163/r13a/14.10661/7.657714/3
CJ189-CTBr,http://www.marmosetbrain.org/goto/CJ189/c14c/1.938577/6.029518/3
CJ189-FB,http://www.marmosetbrain.org/goto/CJ189/c19d/5.466224/4.184302/3
CJ189-CTBgr,http://www.marmosetbrain.org/goto/CJ189/c17d/2.19584/3.491939/3
CJ189-DY,http://www.marmosetbrain.org/goto/CJ189/c13b/6.38317/8.242567/3
CJ185-CTBr,http://www.marmosetbrain.org/goto/CJ185/c13c/9.870708/8.855817/3
CJ185-DY,http://www.marmosetbrain.org/goto/CJ185/c17d/11.849274/9.645301/3
CJ185-FB,http://www.marmosetbrain.org/goto/CJ185/c15c/5.876989/3.116386/3
CJ187-CTBr,http://www.marmosetbrain.org/goto/CJ187/r16d/9.985286/7.386464/3
CJ187-FB,http://www.marmosetbrain.org/goto/CJ187/c15c/9.715104/7.767147/3
CJ187-CTBgr,http://www.marmosetbrain.org/goto/CJ187/r12c/11.380206/11.282434/3
CJ183-CTBr,http://www.marmosetbrain.org/goto/CJ183/c18b/5.316216/3.141497/3
CJ183-FB,http://www.marmosetbrain.org/goto/CJ183/c19c/10.044754/7.394716/3
CJ183-DY,http://www.marmosetbrain.org/goto/CJ183/c17a/2.70606/2.671077/3
CJ183-CTBgr,http://www.marmosetbrain.org/goto/CJ183/c14d/10.918575/8.958777/3
CJ205-CTBr,http://www.marmosetbrain.org/goto/CJ205/r5b/13.334747/9.428643/3
CJ205-FB,http://www.marmosetbrain.org/goto/CJ205/c31b/13.435181/5.868409/3
CJ205-DY,http://www.marmosetbrain.org/goto/CJ205/r10b/16.750668/8.335299/3
CJ205-CTBgr,http://www.marmosetbrain.org/goto/CJ205/c38a/19.85875/5.719788/3
CJ192-CTBr,http://www.marmosetbrain.org/goto/CJ192/c12b/11.348505/11.206278/3
CJ192-FB,http://www.marmosetbrain.org/goto/CJ192/c17d/6.348694/5.00539/3
CJ192-DY,http://www.marmosetbrain.org/goto/CJ192/c20a/11.037168/8.135081/3
CJ192-CTBgr,http://www.marmosetbrain.org/goto/CJ192/c15a/6.932685/9.157053/3
CJ200R-CTBr,http://www.marmosetbrain.org/goto/CJ200R/c17c/5.251804/4.667094/3
CJ200R-FB,http://www.marmosetbrain.org/goto/CJ200R/c17d/10.155157/7.748561/3
CJ200R-DY,http://www.marmosetbrain.org/goto/CJ200R/c19d/3.532611/3.486024/3
CJ200R-CTBgr,http://www.marmosetbrain.org/goto/CJ200R/c15d/4.356617/6.747028/3
CJ195-FB,http://www.marmosetbrain.org/goto/CJ195/r15a/1.834048/3.155468/3
CJ195-DY,http://www.marmosetbrain.org/goto/CJ195/c18a/2.395466/5.063675/3
CJ195-CTBgr,http://www.marmosetbrain.org/goto/CJ195/r11d/2.960989/5.509968/3
CJ203-CTBr,http://www.marmosetbrain.org/goto/CJ203/c15a/3.986042/7.432787/3
CJ203-DY,http://www.marmosetbrain.org/goto/CJ203/c18c/8.264025/4.693273/3
CJ205CB-DY,http://www.marmosetbrain.org/goto/CJ205CB/c7b/14.7390196/6.4645628/3
CJ204R-CTBr,http://www.marmosetbrain.org/goto/CJ204R/c18d/2.532414/5.620818/3
CJ204R-FB,http://www.marmosetbrain.org/goto/CJ204R/r4a/4.07785/8.76063/3
CJ204R-DY,http://www.marmosetbrain.org/goto/CJ204R/c19d/8.282523/3.937594/3
CJ204R-CTBgr,http://www.marmosetbrain.org/goto/CJ204R/r6c/5.851065/8.453102/3
W6BL-FR,http://www.marmosetbrain.org/goto/W6BL/c27b/21.553811/7.186342/3
W6BL-FE,http://www.marmosetbrain.org/goto/W6BL/c32b/22.538493/6.351011/3
NM10-FB,http://www.marmosetbrain.org/goto/NM10/r1a/3.653/20.47/3
NM10-FE,http://www.marmosetbrain.org/goto/NM10/r1a/None/None/3
W6AL-FB,http://www.marmosetbrain.org/goto/W6AL/c27a/22.254939/9.02723/3
W6AL-DY,http://www.marmosetbrain.org/goto/W6AL/c32a/22.046033/7.110974/3
W6JL-FR,http://www.marmosetbrain.org/goto/W6JL/c32b/19.919216/9.726093/3
W6JL-CTBgr,http://www.marmosetbrain.org/goto/W6JL/c29b/19.950283/8.211875/3
W6JL-FB,http://www.marmosetbrain.org/goto/W6JL/c29a/21.521363/10.633926/3
W6JL-DY,http://www.marmosetbrain.org/goto/W6JL/c31b/20.872107/10.145713/3
W6KL-FB,http://www.marmosetbrain.org/goto/W6KL/c33b/20.573523/6.435642/3
W6KL-DY,http://www.marmosetbrain.org/goto/W6KL/c31a/17.508128/4.124092/3
W6HL-FB,http://www.marmosetbrain.org/goto/W6HL/c29b/21.754158/11.760106/3
W6HL-DY,http://www.marmosetbrain.org/goto/W6HL/c35a/20.679434/10.259331/3
W6HL-CTBr,http://www.marmosetbrain.org/goto/W6HL/c42b/20.869923/9.441557/3
W6HL-CTBgr,http://www.marmosetbrain.org/goto/W6HL/c46b/17.695027/5.793547/3
CJ213-CTBr,http://www.marmosetbrain.org/goto/CJ213/r9a/17.673632/8.959861/3
CJ213-FB,http://www.marmosetbrain.org/goto/CJ213/r28a/18.272052/4.641683/3
CJ213-CTBgr,http://www.marmosetbrain.org/goto/CJ213/r33a/17.285058/3.478431/3
CJ213-DY,http://www.marmosetbrain.org/goto/CJ213/r10b/19.545062/9.099216/3
W6DL-FR,http://www.marmosetbrain.org/goto/W6DL/c25b/19.954732/8.009636/3
W6DL-FE,http://www.marmosetbrain.org/goto/W6DL/c26a/20.926582/9.603031/3
