area_id,centroid_x,centroid_y,centroid_z,coord_x,coord_y,coord_z
97,217,212,287,-7.25333344563842,10.75261695683,5.65314150974155
100,159,210,357,-4.41777792945504,10.8511952832341,2.22329754009843
103,255,177,223,-9.11111119762063,12.4777376689017,8.78899885341525
104,139,447,159,-3.44000016525388,-0.830336395651102,11.924856197089
105,224,265,185,-7.59555566310883,8.14029130712152,10.6509141512215
106,230,291,131,-7.88888899236918,6.85877306386828,13.2967937849462
107,215,274,156,-7.1555556692183,7.69668883830309,12.0718495100737
108,255,221,200,-9.11111119762063,10.3090144880116,9.91594758629799
109,236,248,172,-8.18222232162952,8.97820708155632,11.2878851741552
111,252,225,309,-8.96444453299046,10.1118578352034,4.57519054785371
112,235,237,342,-8.13333343341947,9.52038787677884,2.95826410502195
113,273,338,340,-9.99111118540168,4.54218239337206,3.05625964701176
114,287,362,287,-10.6755556203425,3.35924247652292,5.65314150974155
